	1990-t	1990-h	1991-t	1991-h	1992-t	1992-h	1993-t	1993-h	1994-t	1994--h	1995-t	1995-h	1996-t	1996-h	1997-t	1997-h	1998-t	1998-h	1999-t	1999-h	2000-t	2000-h	2001-t	2001-h	2022-t	2002-h	2003-t	2003-h	2004-t	2004-h	2005-t	2005-h	2006-t	2006-h	2007-t	2007-h	2008-t	2008-h	2009-t	2009-h	2010-t	2010-h
Huixquilucan	94	44	98	32	82	42	108	37	78	27	63	23	111	52	69	17	86	36	80	22	87	24	80	27	70	15	73	23	74	22	82	21	83	26	86	8	85	17	86	22	84	30
Isidro Fabela	1	0	0	0	7	2	1	1	5	1	2	2	2	1	1	1	3	2	4	2	3	1	4	1	5	1	3	1	4	1	2	1	2	0	2	0	5	1	1	0	5	0
Ixtapaluca	109	45	73	29	105	45	97	42	105	44	91	19	117	43	107	34	120	32	119	36	110	37	121	44	138	43	135	45	136	46	160	65	156	77	162	35	144	24	159	56	153	43
Ixtapan de la Sal	42	16	26	8	40	12	24	8	20	6	23	8	22	6	25	6	26	8	23	11	13	2	18	4	20	6	23	8	37	8	21	7	18	10	24	3	19	4	18	5	33	12
Ixtapan del Oro	8	1	9	6	8	3	5	4	8	1	4	1	2	1	1	1	5	2	4	1	7	2	3	2	5	1	1	0	4	0	4	0	4	0	3	0	1	1	4	1	7	2
Ixtlahuaca	111	37	67	32	67	28	55	34	87	47	63	19	77	40	74	37	71	27	52	19	69	19	62	16	74	13	65	7	57	6	58	12	65	10	61	8	60	8	63	11	59	8
Xalatlaco	7	2	9	3	10	4	9	4	11	7	8	2	7	2	9	6	10	2	4	1	13	2	9	3	13	2	14	4	7	1	13	2	8	3	8	2	11	3	9	3	15	8
Jaltenco	7	0	5	2	6	0	8	2	9	4	7	3	18	9	6	0	9	1	15	6	4	1	12	3	16	2	5	2	8	2	10	3	4	2	10	0	7	2	9	3	8	3
Jilotepec	49	17	48	14	45	12	41	14	48	6	35	16	32	20	34	16	40	16	26	6	45	14	38	13	38	11	36	7	34	10	36	11	31	7	42	6	35	9	37	8	40	7
Jilotzingo	5	2	10	5	12	6	10	4	5	4	13	4	8	5	9	2	8	3	7	3	10	3	9	5	8	4	4	2	5	0	6	2	5	1	13	2	13	1	6	1	12	4
Jiquipilco	25	12	38	17	24	13	27	20	34	18	29	15	39	24	28	19	24	9	33	15	23	7	36	9	37	11	33	8	24	6	34	10	39	8	26	5	30	5	35	7	35	7
Jocotitlán	31	12	30	17	30	17	39	23	38	17	23	9	33	11	19	8	16	4	20	2	25	4	30	6	27	5	27	7	33	3	25	6	27	3	37	3	27	7	31	3	34	7
Joquicingo	5	1	8	3	11	4	5	2	5	4	5	3	2	2	3	1	5	2	7	2	6	2	7	0	2	1	5	0	5	0	10	7	6	0	3	0	2	0	12	4	2	1
Juchitepec	9	5	11	5	8	2	7	3	6	2	8	3	11	2	9	2	10	3	8	2	8	0	9	3	9	2	5	1	6	0	4	2	5	0	9	0	10	2	9	0	9	3
Lerma	53	19	53	18	56	22	61	23	47	22	40	21	62	20	47	18	58	19	74	25	45	15	51	8	33	11	55	15	58	14	34	12	40	11	41	7	55	11	36	4	52	8
Malinalco	16	5	13	4	14	6	18	10	14	8	15	5	16	7	8	4	26	1	8	4	16	6	3	1	11	1	8	3	8	4	6	0	17	6	9	2	8	4	15	4	19	6
Melchor Ocampo	20	14	18	10	19	6	14	7	17	8	12	5	14	8	15	6	28	8	17	4	10	2	20	9	20	8	13	5	11	6	12	7	21	3	14	1	23	10	27	12	31	8
Metepec	104	44	72	39	92	45	96	46	88	39	89	34	84	28	80	31	88	37	90	35	99	27	80	20	94	22	74	18	84	22	81	26	80	27	72	19	85	13	94	23	81	20
Mexicaltzingo	10	2	9	3	4	1	11	7	8	5	3	0	4	1	8	4	1	1	4	1	6	1	4	1	6	1	5	0	6	2	7	0	3	0	6	0	5	0	5	0	8	1
Morelos	9	5	17	5	11	5	22	10	10	5	11	2	14	8	6	3	7	5	15	7	12	4	14	5	10	1	18	0	15	4	10	1	19	2	17	5	14	1	15	2	12	2
Naucalpan de Juárez	848	316	621	304	648	320	593	281	635	305	575	278	545	247	528	222	466	179	458	157	413	135	441	160	380	128	358	113	379	131	337	122	376	104	324	64	324	73	365	92	363	108
Nezahualcóyotl	875	394	891	418	862	343	839	359	734	298	696	257	704	261	675	241	607	225	656	217	596	212	598	212	540	185	502	191	469	143	454	149	430	126	471	117	456	141	475	154	541	227
Nextlalpan	12	1	6	2	7	0	10	2	11	4	7	1	8	1	8	4	11	2	11	3	13	5	8	3	6	0	7	4	7	1	8	2	10	4	7	2	9	3	15	6	14	2
Nicolás Romero	101	44	100	63	155	75	122	65	110	43	134	61	116	61	131	61	122	57	109	42	102	37	105	43	117	51	101	43	108	42	135	53	123	50	133	21	112	27	127	28	160	46
Nopaltepec	2	0	5	1	0	0	3	2	5	2	5	3	2	1	0	0	6	4	3	1	4	1	3	2	5	0	7	2	4	2	2	0	7	2	2	0	4	2	8	2	1	0
Ocoyoacac	31	12	32	15	25	8	36	12	20	5	16	3	20	10	27	8	30	13	26	14	29	10	21	5	27	8	29	4	26	7	21	10	23	8	29	2	22	2	36	5	21	3
Ocuilan	22	9	22	8	28	6	15	7	16	12	14	4	19	9	13	5	14	2	24	10	13	5	19	2	11	1	19	5	11	2	17	10	15	0	21	4	14	1	22	5	18	9
El Oro	19	6	20	3	22	9	11	2	31	7	15	5	22	4	13	4	12	1	16	4	16	4	15	5	14	0	12	1	10	1	12	2	17	3	13	0	16	3	17	3	12	0
Otumba	25	5	21	6	20	7	28	10	37	10	23	9	19	7	20	3	15	4	14	3	20	8	17	6	11	5	18	4	9	0	19	11	13	0	18	9	24	9	26	10	17	3
Otzoloapan	12	9	11	7	3	1	11	8	3	1	7	4	6	4	4	4	1	0	5	2	2	1	6	3	3	1	1	0	6	2	4	1	3	1	4	0	3	0	2	0	3	1
Otzolotepec	16	6	25	9	27	9	28	9	24	10	19	9	15	7	29	11	25	12	17	7	31	14	29	11	11	4	28	8	26	5	25	10	22	8	36	9	23	1	32	4	24	4
Ozumba	10	7	16	7	11	5	14	9	10	3	12	4	16	5	5	1	3	2	9	2	9	5	10	5	13	2	11	6	9	1	8	3	12	1	3	1	14	0	16	3	9	2
Papalotla	0	0	0	0	1	1	0	0	2	0	0	0	1	0	2	0	5	0	0	0	0	0	2	0	0	0	0	0	1	1	2	2	4	0	1	0	3	0	2	1	0	0
La Paz	110	55	108	41	96	36	102	46	101	33	100	43	94	37	112	55	101	42	101	32	82	30	74	26	90	31	84	32	96	31	92	32	90	31	84	24	74	14	90	26	103	38
Polotitlán	17	1	16	1	14	2	14	4	10	1	8	4	13	1	6	2	9	4	7	2	10	3	8	1	14	1	7	1	8	1	5	1	12	1	9	2	8	0	6	0	9	3
Rayón	1	0	4	0	0	0	1	0	6	2	1	0	4	2	7	1	4	2	6	3	4	1	1	0	4	1	4	3	7	1	7	3	6	2	5	0	6	3	2	1	2	0
San Antonio la Isla	5	1	5	1	5	0	4	0	7	3	7	4	1	1	3	0	7	3	4	2	5	1	2	0	5	0	1	0	5	2	3	1	3	1	9	1	3	1	6	2	11	2
San Felipe del Progreso	121	42	160	67	91	30	89	31	118	48	82	28	81	28	109	27	93	30	89	26	75	13	104	18	70	19	57	7	58	9	61	11	44	7	53	6	62	8	46	11	58	13
San Martín de las Pirámides	2	0	13	5	7	1	7	3	8	4	8	6	8	4	6	0	13	4	10	3	7	5	9	3	10	1	5	2	10	4	3	0	13	6	14	3	12	7	15	3	8	2
San Mateo Atenco	24	9	37	15	27	10	18	10	27	18	26	6	28	9	33	17	29	7	37	15	22	8	25	5	28	6	34	11	35	9	27	10	30	6	23	5	31	8	33	7	33	5
San Simón de Guerrero	6	3	5	1	5	1	5	3	3	0	5	3	8	2	4	1	7	2	3	0	1	0	3	1	3	0	3	1	4	1	8	5	2	1	7	2	4	0	3	1	6	0
Santo Tomás	5	2	10	2	3	1	8	3	3	2	9	6	12	7	4	2	4	0	4	2	4	1	5	2	6	1	4	1	1	0	5	1	4	1	3	1	3	2	4	1	4	1
Soyaniquilpan de Juárez	4	0	5	0	4	0	5	3	10	2	8	6	8	4	3	0	7	1	6	1	6	2	4	1	6	2	4	0	4	0	5	2	6	1	2	1	7	0	3	1	12	2
Sultepec	48	18	35	16	23	11	22	10	28	16	23	14	15	4	21	12	16	8	19	4	19	5	15	4	20	6	18	6	24	4	20	2	12	1	18	7	14	3	19	5	27	14
Tecámac	97	28	123	39	97	38	104	43	121	37	107	29	112	27	107	33	86	25	98	27	115	44	98	34	89	20	83	21	91	26	105	26	104	29	92	16	121	28	146	46	159	73
Tejupilco	106	45	107	54	112	68	104	63	101	57	103	66	109	61	99	42	85	49	67	32	62	29	70	29	49	23	45	16	41	5	52	13	62	20	48	21	62	22	46	17	40	17
Temamatla	6	2	5	2	7	4	7	1	5	2	1	1	2	0	1	1	4	1	4	2	7	0	5	3	6	3	2	0	3	1	5	3	1	0	5	1	5	2	4	0	3	3
Temascalapa	6	3	12	1	10	3	14	6	16	5	12	6	10	3	16	3	17	4	15	5	4	2	14	3	11	1	12	4	7	2	25	9	15	5	9	0	15	5	16	1	16	2
Temascalcingo	35	17	29	17	29	6	45	10	47	10	36	10	36	7	31	6	29	5	19	4	28	7	31	6	26	4	28	1	24	5	32	5	21	1	38	5	23	2	23	7	25	4
Temascaltepec	40	27	42	21	30	18	40	13	37	27	24	12	25	12	28	9	35	21	14	7	21	8	23	5	29	13	15	2	24	9	19	7	25	12	31	2	21	4	30	7	18	4
Temoaya	52	16	38	18	24	16	39	21	32	13	27	7	30	13	26	8	38	13	24	6	30	10	24	7	16	7	26	5	38	11	36	14	26	11	42	6	47	11	39	8	29	7
Tenancingo	74	26	45	13	57	23	44	15	38	13	41	9	42	16	40	7	38	9	40	9	33	8	47	14	35	12	47	11	37	13	34	11	38	6	31	9	49	11	44	17	28	6
Tenango del Aire	4	1	4	0	5	0	2	0	11	2	3	0	5	3	3	1	5	2	4	0	2	0	4	0	4	0	4	2	4	1	5	0	1	0	4	0	8	2	8	0	1	0
Tenango del Valle	82	28	64	35	44	17	52	22	58	28	38	15	48	11	37	20	34	7	41	9	35	11	33	7	34	13	41	11	31	8	39	11	50	11	41	3	38	6	35	6	46	9
Teoloyucan	23	9	36	31	27	15	35	20	34	11	26	11	31	17	35	16	31	10	22	6	22	5	33	13	27	14	32	11	30	10	39	17	31	9	31	8	34	6	32	12	34	6
Teotihuacán	21	6	16	8	13	2	29	9	28	8	18	5	17	5	28	16	23	5	26	11	23	7	25	7	25	6	26	8	24	8	30	10	13	1	15	3	20	3	14	6	27	13
Tepetlaoxtoc	8	5	8	4	9	5	7	3	10	3	6	2	6	0	12	4	17	8	14	4	11	3	8	2	10	3	11	3	9	3	6	2	9	2	10	4	4	1	16	4	13	4
Tepetlixpa	14	7	5	0	10	5	10	2	8	3	9	4	17	4	9	4	11	4	8	2	14	4	7	1	15	3	9	3	11	2	6	2	7	2	11	1	1	0	4	0	6	2
Tepotzotlán	25	11	33	21	39	24	35	24	31	13	27	11	30	19	35	15	28	14	22	7	30	12	24	9	26	13	32	12	24	4	27	11	36	16	16	6	31	10	27	9	49	20
Tequixquiac	15	4	11	0	13	2	14	2	11	4	15	6	8	5	6	0	12	5	17	5	17	6	13	4	14	3	16	6	7	1	11	0	14	2	8	2	12	0	17	4	17	6
Texcaltitlán	10	4	21	8	14	9	9	7	10	6	10	4	11	4	15	2	11	6	16	4	13	6	12	2	10	2	21	4	7	5	12	3	6	0	13	3	17	4	8	0	9	2
Texcalyacac	0	0	2	0	1	0	1	0	1	0	2	2	2	1	2	1	2	2	2	2	1	1	2	0	0	0	3	3	4	2	1	0	3	0	4	0	1	0	2	1	3	0
Texcoco	127	58	127	64	119	60	128	47	140	47	111	45	109	26	117	35	91	38	111	51	119	49	108	30	93	36	87	35	98	31	99	33	83	18	114	31	105	18	94	27	100	20
Tezoyuca	8	7	5	1	8	4	10	7	12	5	11	4	8	3	7	0	4	3	8	3	7	5	8	5	5	3	12	7	8	1	5	1	12	6	15	3	10	1	6	1	11	4
Tianguistenco	49	17	39	15	33	21	32	15	23	9	29	14	24	10	34	11	44	12	29	11	35	9	17	8	39	11	25	10	41	9	33	7	25	6	23	1	23	2	20	2	25	2
Timilpan	14	2	12	3	8	2	7	2	5	0	6	6	8	6	11	5	10	4	8	6	12	5	6	2	8	1	12	2	12	2	13	2	14	2	8	1	5	0	8	1	6	0
Tlalmanalco	21	10	21	6	25	12	23	11	19	7	27	13	31	14	13	4	19	5	23	7	19	5	14	4	25	8	19	9	20	8	17	8	25	9	23	4	13	2	24	9	31	9
Tlalnepantla de Baz	501	204	438	197	513	240	461	214	404	164	407	168	397	161	392	123	410	142	343	113	324	114	303	98	324	106	291	104	300	101	333	112	253	79	263	50	267	59	314	93	299	94
Tlatlaya	49	34	38	31	47	35	34	23	44	24	25	4	23	13	30	13	24	12	27	8	26	10	22	8	23	8	28	8	24	7	30	14	26	13	49	28	33	20	28	13	30	5
Toluca	526	227	493	221	417	171	443	242	402	199	420	175	376	147	366	165	379	138	324	130	359	125	400	107	349	104	391	100	357	85	337	91	361	108	373	63	330	79	356	60	359	66
Tonatico	7	2	21	13	9	4	5	2	8	3	7	2	3	3	7	0	6	3	5	2	7	1	4	1	7	0	6	3	11	2	10	2	7	3	5	1	11	1	8	3	12	2
Tultepec	25	12	18	12	33	18	30	10	32	11	43	24	35	18	29	14	46	17	35	24	34	13	36	11	43	13	27	14	20	7	43	12	32	10	42	12	41	15	54	15	68	32
Tultitlán	144	79	123	70	150	71	168	84	174	74	175	78	153	72	171	62	179	67	160	45	123	50	132	41	159	45	141	48	171	53	164	61	171	56	143	35	204	73	183	66	204	68
Valle de Bravo	49	23	49	24	34	15	40	14	34	14	46	30	45	28	39	17	35	14	23	12	23	7	25	11	22	7	31	6	31	10	33	13	39	11	40	6	51	7	41	11	25	5
Villa de Allende	19	14	30	16	27	13	33	20	29	18	11	3	16	13	25	12	30	12	22	6	19	8	20	7	25	2	22	5	28	5	26	6	30	7	28	5	24	7	27	4	28	4
Villa del Carbón	20	4	14	6	17	4	23	13	9	3	23	9	19	12	17	8	15	8	18	7	27	10	22	5	9	3	16	2	18	4	20	9	17	4	16	2	13	3	19	3	7	0
Villa Guerrero	60	25	49	10	31	8	30	9	26	8	30	8	24	7	28	9	30	10	29	4	39	8	29	5	35	7	48	5	38	3	31	10	34	3	40	5	23	8	36	9	33	7
Villa Victoria	89	45	60	30	65	32	48	24	67	36	47	16	74	27	36	18	36	15	49	23	48	27	42	14	42	13	41	14	35	7	48	16	44	11	60	8	43	9	75	14	48	10
Xonacatlán	17	6	24	12	22	5	17	12	14	9	18	5	16	8	17	5	12	4	20	6	17	3	24	10	13	2	22	7	21	5	20	4	16	8	16	5	32	5	23	2	25	2
Zacazonapan	8	5	6	3	7	2	1	1	4	2	1	1	1	1	4	1	2	1	4	0	5	0	4	2	3	0	6	0	3	0	2	1	2	1	2	2	2	1	2	2	2	0
Zacualpan	24	11	26	14	23	14	15	7	11	8	22	16	10	6	23	14	12	3	13	6	6	1	16	6	19	6	9	4	14	3	18	2	9	2	15	6	10	4	9	3	9	3
Zinacantepec	68	28	71	32	87	32	83	37	78	31	48	22	47	15	57	20	69	27	55	22	73	23	74	13	43	16	89	29	70	15	57	19	58	16	70	4	55	15	78	18	68	13
Zumpahuacán	24	7	11	5	17	7	6	4	10	5	12	6	13	4	13	4	14	8	8	2	11	2	11	0	9	2	9	3	15	6	7	2	13	3	13	5	11	2	10	3	9	2
Zumpango	61	11	52	9	39	8	37	14	45	17	45	14	58	19	50	20	49	13	47	17	42	16	59	23	33	5	52	14	42	11	63	19	41	5	67	12	59	15	63	19	75	16
Cuautitlán Izcalli	207	105	151	88	197	109	228	122	186	98	172	80	185	95	182	75	159	52	142	48	158	53	161	62	160	48	146	58	130	38	150	48	178	43	165	24	177	42	181	43	194	46
Valle de Chalco Solidaridad	0	0	0	0	0	0	0	0	13	10	116	56	141	47	171	65	132	53	165	56	145	59	125	47	134	70	140	64	125	69	119	53	120	54	148	41	159	54	120	49	152	62
Luvianos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	10	23	10	9	3	21	12	28	11	23	9	28	11	22	8	22	1
San José del Rincón	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	14	38	5	51	14	44	16	43	11	53	10	37	5	47	16	40	9
Tonanitla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	5	0	3	1	2	0	5	1
No especificado	62	10	42	6	54	14	41	1	22	6	34	3	26	5	21	1	17	3	25	3	24	3	17	6	238	128	227	102	228	123	270	129	213	93	219	87	219	106	317	163	293	143
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otros municipios	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Michoacán de Ocampo	3199	1169	3292	1167	3597	1401	3379	1345	3428	1262	3211	1129	3533	1117	2922	862	2675	651	2784	674	2747	607	2659	641	2571	544	2574	574	2605	540	2874	687	3243	971	3110	575	3135	674	3219	921	2999	754
Acuitzio	3	2	6	2	5	1	21	11	12	5	10	2	13	5	4	0	6	2	10	3	13	2	6	0	6	2	4	1	11	2	8	1	12	0	8	0	11	0	5	0	7	0
Aguililla	34	27	32	21	34	23	41	29	29	16	25	14	21	17	27	17	23	15	21	14	11	2	22	13	20	10	20	11	33	17	44	23	56	44	21	9	32	16	30	19	20	14
Álvaro Obregón	8	1	7	3	12	2	13	3	7	0	9	2	10	0	12	1	5	0	10	0	16	1	13	6	6	1	9	0	11	1	10	3	15	2	21	1	14	1	15	2	11	1
Angamacutiro	11	2	9	2	11	2	11	1	9	1	4	0	7	2	11	1	11	0	11	2	15	3	7	2	8	4	7	2	16	1	15	2	6	3	7	1	8	0	5	0	12	0
Angangueo	14	5	13	9	6	4	7	0	7	1	8	1	9	3	10	3	3	1	3	0	5	1	8	0	14	2	5	1	10	3	8	0	6	1	4	0	15	2	4	2	25	1
Apatzingán	151	81	127	75	141	79	156	95	129	67	118	53	111	49	97	37	115	32	107	43	90	36	92	41	100	35	80	26	98	35	104	43	121	68	103	19	105	31	154	63	106	44
Aporo	11	2	5	4	6	1	3	2	6	1	4	1	0	0	6	0	1	0	2	0	0	0	1	0	2	0	3	0	1	0	3	2	1	1	1	0	1	0	5	2	5	0
Aquila	28	15	20	12	35	25	21	16	48	37	36	21	42	31	26	16	26	14	8	4	18	8	25	8	29	17	19	10	18	4	16	2	26	10	29	5	21	9	23	15	40	20
Ario	69	44	56	31	56	27	57	37	50	39	36	16	43	22	31	10	28	15	16	10	24	7	28	14	22	5	19	5	23	4	34	13	32	10	27	4	33	3	24	11	29	4
Arteaga	38	13	26	19	61	51	39	32	25	18	29	16	10	6	25	11	40	16	18	11	20	9	19	4	13	4	14	2	18	2	16	7	33	14	18	6	14	5	17	4	20	11
Briseñas	8	0	10	1	11	2	12	3	11	0	7	1	3	2	5	3	1	0	6	0	5	0	10	0	5	0	11	0	3	0	1	0	0	0	7	2	9	2	11	4	10	3
Buenavista	46	28	28	11	38	21	34	22	51	23	37	18	43	12	42	15	30	9	28	7	34	3	33	14	24	7	27	9	36	16	34	12	40	11	32	5	43	10	38	15	36	9
Carácuaro	16	10	31	24	22	15	31	20	22	20	13	7	13	7	8	5	4	2	6	3	10	4	9	6	7	1	9	2	4	3	5	1	5	4	5	2	4	3	13	4	13	0
Coahuayana	20	10	15	4	16	8	8	4	27	12	15	6	17	9	32	12	15	7	15	6	5	3	14	5	19	11	15	5	17	8	15	1	17	6	12	4	16	4	16	9	13	9
Coalcomán de Vázquez Pallares	12	6	17	8	34	18	24	14	38	27	23	15	24	18	31	23	27	10	20	9	31	14	16	9	14	6	24	12	24	13	13	9	31	23	18	10	24	13	26	11	20	14
Coeneo	19	3	8	1	10	2	21	9	23	8	16	4	12	2	20	4	8	2	14	4	16	1	21	6	13	5	17	3	15	0	16	1	10	0	20	1	18	1	14	2	15	2
Contepec	17	4	19	7	20	5	23	6	17	8	18	5	23	5	22	4	19	6	10	1	11	3	25	10	17	1	23	5	27	5	16	2	24	1	21	2	12	2	16	4	12	2
Copándaro	10	4	8	0	11	4	10	3	6	0	8	3	6	2	7	0	3	1	6	3	4	0	4	1	2	0	4	0	6	0	16	1	4	1	6	0	2	0	6	3	6	0
Cotija	15	3	14	3	20	7	18	8	24	8	16	5	22	7	17	8	21	4	13	4	18	6	12	2	13	5	17	8	12	0	13	4	21	5	17	8	17	4	12	5	8	3
Cuitzeo	17	2	11	2	13	5	25	5	15	3	15	4	27	1	8	1	10	0	20	1	16	3	11	1	8	1	10	1	8	2	20	1	31	3	15	0	22	2	19	3	12	1
Charapan	2	1	7	1	2	2	7	2	4	2	6	1	3	0	2	0	3	0	6	2	5	0	4	0	4	0	4	0	6	0	16	9	10	4	9	3	5	1	9	4	9	2
Charo	10	3	11	1	17	4	10	3	16	3	15	1	12	5	17	1	14	2	6	1	10	1	21	7	8	3	14	3	13	3	8	0	20	5	11	0	12	2	5	1	9	1
Chavinda	6	2	2	1	10	2	3	0	8	4	6	2	6	1	7	1	3	0	7	1	12	0	2	0	5	1	6	0	8	3	8	0	9	2	7	1	6	2	8	0	6	2
Cherán	5	2	5	2	12	2	8	1	6	0	6	1	7	0	7	1	4	0	8	1	12	2	6	0	6	0	5	0	8	2	8	0	7	4	7	1	11	2	16	6	14	2
Chilchota	11	3	14	1	18	5	15	5	9	2	14	1	14	1	14	5	13	2	21	1	20	6	18	2	18	4	15	4	11	1	8	1	34	9	9	2	19	4	11	3	17	4
Chinicuila	5	5	11	10	5	3	7	5	15	11	9	6	16	9	11	10	2	1	1	0	9	5	8	8	2	2	7	4	5	3	10	4	7	3	7	2	8	1	8	5	3	1
Chucándiro	1	0	5	3	7	3	9	5	5	1	3	2	5	2	5	2	6	2	7	1	2	0	5	1	3	0	8	0	1	0	3	0	2	1	3	0	3	1	2	0	6	0
Churintzio	2	1	7	2	5	1	4	1	5	0	2	0	6	2	7	1	6	0	1	0	5	0	6	4	5	3	5	1	5	0	6	2	4	1	1	0	8	1	5	0	6	0
Churumuco	35	22	27	19	31	24	24	13	14	9	22	18	14	11	10	4	3	1	8	4	7	1	8	1	4	3	4	2	1	1	6	2	8	2	12	3	12	2	9	4	10	1
Ecuandureo	8	1	13	5	8	2	7	2	8	3	6	1	18	3	10	3	6	1	7	0	10	1	5	1	7	1	10	0	7	2	6	2	13	8	4	0	7	3	12	6	12	7
Epitacio Huerta	8	1	17	6	11	2	10	4	16	2	10	2	15	4	15	2	6	0	10	1	6	1	10	3	5	0	3	0	5	1	9	2	11	5	9	1	11	2	6	1	10	1
Erongarícuaro	6	2	6	0	11	1	9	4	12	3	13	1	16	0	3	0	5	0	4	1	16	1	14	1	7	4	13	0	14	1	1	0	4	2	3	0	15	3	8	1	6	0
Gabriel Zamora	20	10	30	17	36	22	19	11	18	6	16	7	16	5	15	4	14	1	15	3	13	1	16	3	12	4	15	7	17	12	10	0	19	6	21	4	18	6	26	5	15	2
Hidalgo	74	19	93	33	106	31	80	22	75	26	106	29	108	23	85	17	97	27	79	11	86	14	79	15	68	15	67	12	51	7	46	7	53	13	74	10	89	16	69	8	52	7
La Huacana	66	49	62	44	46	33	34	20	54	38	46	23	31	8	28	18	46	21	23	13	11	2	25	10	20	6	20	10	26	10	33	12	43	13	21	5	31	8	46	21	41	9
Huandacareo	7	1	14	4	9	1	8	2	9	0	9	0	6	0	12	2	9	0	7	0	7	0	5	0	3	0	5	0	5	1	7	0	10	0	8	2	6	1	6	0	4	0
Huaniqueo	11	0	10	3	4	0	15	2	19	13	7	3	9	1	8	1	8	1	7	2	10	1	11	3	6	1	6	1	6	0	9	2	6	0	10	4	3	2	4	0	4	0
Huetamo	44	30	32	18	39	26	33	21	20	13	62	40	47	24	46	21	29	10	27	15	47	13	33	10	36	11	32	17	45	19	55	33	72	38	38	15	39	13	43	21	40	21
Huiramba	9	4	10	6	7	3	3	0	4	2	5	2	5	0	6	0	5	0	5	3	4	0	2	0	5	1	0	0	3	0	4	0	1	0	9	0	2	1	5	2	11	3
Indaparapeo	12	0	15	1	20	5	16	3	7	0	12	1	13	1	8	1	5	0	11	1	17	1	8	1	15	6	8	0	8	0	22	2	7	0	19	1	10	1	11	1	13	0
Irimbo	23	1	7	1	8	1	6	0	10	2	8	1	10	0	6	0	6	1	15	3	14	4	8	1	9	1	4	0	8	0	12	2	6	0	1	1	5	0	9	0	11	0
Ixtlán	11	2	9	2	16	2	8	1	10	6	10	1	8	1	4	0	10	3	10	0	10	0	7	1	5	1	8	3	6	1	10	5	7	2	10	3	12	0	3	1	8	2
Jacona	43	17	32	17	42	16	55	19	39	16	39	18	50	8	45	17	43	5	42	9	48	12	38	6	27	5	35	9	27	1	43	4	34	8	32	7	31	3	52	17	43	10
Jiménez	10	0	17	1	4	0	10	3	15	2	9	1	11	1	9	1	10	1	10	1	15	1	20	4	7	0	9	0	10	1	7	1	16	0	7	0	9	2	14	4	7	1
Jiquilpan	20	7	20	5	26	7	25	4	26	1	32	2	28	5	27	0	31	6	25	3	14	1	21	3	28	3	24	3	23	4	19	0	22	8	12	0	32	1	31	3	15	4
Juárez	6	6	7	3	15	8	5	2	10	3	9	3	7	1	5	3	10	2	10	4	10	3	8	1	3	1	7	1	11	1	6	1	8	0	9	1	15	2	11	4	9	3
Jungapeo	10	2	13	2	14	3	15	5	15	9	13	7	5	1	5	2	7	2	18	5	11	3	12	1	25	0	8	0	13	0	7	0	17	3	21	2	16	1	22	3	16	1
Lagunillas	3	0	9	1	3	1	2	0	4	1	3	1	4	1	10	1	2	0	5	0	4	0	7	0	3	0	3	0	5	0	5	0	3	0	3	1	4	0	3	0	3	0
Madero	36	23	33	21	38	29	47	26	33	17	27	20	29	15	13	6	22	6	25	12	11	1	17	6	23	5	10	0	10	1	28	7	14	1	25	6	21	1	20	4	25	6
Maravatío	41	9	36	8	48	14	34	5	52	8	50	13	70	18	42	11	34	7	54	4	41	4	38	6	28	1	67	7	55	6	38	3	37	4	58	7	47	8	54	9	36	8
Marcos Castellanos	4	1	6	2	10	2	8	1	13	1	14	0	13	4	7	0	5	1	3	0	9	0	14	2	8	1	3	2	8	1	3	2	11	3	13	4	11	2	6	1	14	5
Lázaro Cárdenas	125	57	150	72	136	59	112	68	169	83	149	71	175	65	138	49	122	47	123	47	103	34	91	20	108	30	105	43	113	38	136	45	155	67	121	27	161	82	135	62	130	38
Morelia	367	93	431	96	411	102	521	142	531	117	439	116	640	179	430	79	413	52	411	46	423	53	403	55	388	43	402	48	384	39	397	61	402	70	496	67	526	107	517	126	475	89
Morelos	12	2	9	1	11	1	8	1	6	1	6	1	20	8	7	2	10	2	5	0	0	0	2	1	3	0	6	0	7	1	6	2	6	1	4	0	3	0	5	1	5	0
Múgica	61	26	70	27	84	35	64	35	64	24	58	20	38	18	59	32	43	10	40	8	34	11	37	15	48	18	40	21	35	14	34	14	42	11	54	6	34	7	43	15	33	11
Nahuatzen	7	1	9	2	8	0	7	2	6	3	7	0	6	1	7	1	5	1	5	0	9	0	7	2	7	1	5	1	3	1	11	1	9	0	7	1	11	2	10	4	17	5
Nocupétaro	21	10	30	21	32	20	23	8	26	16	12	8	12	7	6	2	6	4	8	3	14	10	12	9	7	5	10	3	14	10	11	6	13	5	4	1	11	3	11	5	10	2
